id,id_gen,scenario,date,value
191,92,2,2025-01-07T19:00:00.0,0.0
192,92,2,2025-01-07T20:00:00.0,0.0
193,92,2,2025-01-07T21:00:00.0,0.0
194,92,2,2025-01-07T22:00:00.0,0.0
195,92,2,2025-01-07T23:00:00.0,0.0
196,92,2,2025-01-08T00:00:00.0,0.0
197,92,2,2025-01-08T01:00:00.0,0.0
198,92,2,2025-01-08T02:00:00.0,0.0
199,92,2,2025-01-08T03:00:00.0,0.0
200,92,2,2025-01-08T04:00:00.0,0.0
201,92,2,2025-01-08T05:00:00.0,7.1817
202,92,2,2025-01-08T06:00:00.0,62.6323
203,92,2,2025-01-08T07:00:00.0,129.5644
204,92,2,2025-01-08T08:00:00.0,192.5066
205,92,2,2025-01-08T09:00:00.0,235.4134
206,92,2,2025-01-08T10:00:00.0,221.4048
207,92,2,2025-01-08T11:00:00.0,240.7441
208,92,2,2025-01-08T12:00:00.0,257.0983
209,92,2,2025-01-08T13:00:00.0,225.9667
210,92,2,2025-01-08T14:00:00.0,203.9475
211,92,2,2025-01-08T15:00:00.0,180.5849
212,92,2,2025-01-08T16:00:00.0,136.8538
213,92,2,2025-01-08T17:00:00.0,67.2459
214,92,2,2025-01-08T18:00:00.0,7.1854
215,92,2,2025-01-08T19:00:00.0,0.0
216,92,2,2025-01-08T20:00:00.0,0.0
217,92,2,2025-01-08T21:00:00.0,0.0
218,92,2,2025-01-08T22:00:00.0,0.0
219,92,2,2025-01-08T23:00:00.0,0.0
220,92,2,2025-01-09T00:00:00.0,0.0
221,92,2,2025-01-09T01:00:00.0,0.0
222,92,2,2025-01-09T02:00:00.0,0.0
223,92,2,2025-01-09T03:00:00.0,0.0
224,92,2,2025-01-09T04:00:00.0,0.0
225,92,2,2025-01-09T05:00:00.0,4.8131
226,92,2,2025-01-09T06:00:00.0,48.7581
227,92,2,2025-01-09T07:00:00.0,126.3949
228,92,2,2025-01-09T08:00:00.0,218.6621
229,92,2,2025-01-09T09:00:00.0,274.0229
230,92,2,2025-01-09T10:00:00.0,294.8526
231,92,2,2025-01-09T11:00:00.0,318.454
232,92,2,2025-01-09T12:00:00.0,296.4028
233,92,2,2025-01-09T13:00:00.0,296.0526
234,92,2,2025-01-09T14:00:00.0,280.6893
235,92,2,2025-01-09T15:00:00.0,248.5767
236,92,2,2025-01-09T16:00:00.0,170.2295
237,92,2,2025-01-09T17:00:00.0,67.8083
238,92,2,2025-01-09T18:00:00.0,5.5855
239,92,2,2025-01-09T19:00:00.0,0.0
240,92,2,2025-01-09T20:00:00.0,0.0
241,92,2,2025-01-09T21:00:00.0,0.0
242,92,2,2025-01-09T22:00:00.0,0.0
243,92,2,2025-01-09T23:00:00.0,0.0
244,92,2,2025-01-10T00:00:00.0,0.0
245,92,2,2025-01-10T01:00:00.0,0.0
246,92,2,2025-01-10T02:00:00.0,0.0
247,92,2,2025-01-10T03:00:00.0,0.0
248,92,2,2025-01-10T04:00:00.0,0.0
249,92,2,2025-01-10T05:00:00.0,5.6251
250,92,2,2025-01-10T06:00:00.0,69.8781
251,92,2,2025-01-10T07:00:00.0,175.1157
252,92,2,2025-01-10T08:00:00.0,269.7238
253,92,2,2025-01-10T09:00:00.0,342.8552
254,92,2,2025-01-10T10:00:00.0,391.2656
255,92,2,2025-01-10T11:00:00.0,422.5641
256,92,2,2025-01-10T12:00:00.0,433.4917
257,92,2,2025-01-10T13:00:00.0,413.7063
258,92,2,2025-01-10T14:00:00.0,369.3304
259,92,2,2025-01-10T15:00:00.0,293.0456
260,92,2,2025-01-10T16:00:00.0,185.7803
261,92,2,2025-01-10T17:00:00.0,71.4994
262,92,2,2025-01-10T18:00:00.0,4.9312
263,92,2,2025-01-10T19:00:00.0,0.0
264,92,2,2025-01-10T20:00:00.0,0.0
265,92,2,2025-01-10T21:00:00.0,0.0
266,92,2,2025-01-10T22:00:00.0,0.0
267,92,2,2025-01-10T23:00:00.0,0.0
268,92,2,2025-01-11T00:00:00.0,0.0
269,92,2,2025-01-11T01:00:00.0,0.0
270,92,2,2025-01-11T02:00:00.0,0.0
271,92,2,2025-01-11T03:00:00.0,0.0
272,92,2,2025-01-11T04:00:00.0,0.0
273,92,2,2025-01-11T05:00:00.0,3.1229
274,92,2,2025-01-11T06:00:00.0,73.4415
275,92,2,2025-01-11T07:00:00.0,193.5912
276,92,2,2025-01-11T08:00:00.0,300.8947
277,92,2,2025-01-11T09:00:00.0,379.4004
278,92,2,2025-01-11T10:00:00.0,428.3712
279,92,2,2025-01-11T11:00:00.0,458.6508
280,92,2,2025-01-11T12:00:00.0,459.3001
281,92,2,2025-01-11T13:00:00.0,432.321
282,92,2,2025-01-11T14:00:00.0,376.5144
283,92,2,2025-01-11T15:00:00.0,296.9567
284,92,2,2025-01-11T16:00:00.0,192.9214
285,92,2,2025-01-11T17:00:00.0,72.9103
286,92,2,2025-01-11T18:00:00.0,5.0823
287,92,2,2025-01-11T19:00:00.0,0.0
288,92,2,2025-01-11T20:00:00.0,0.0
289,92,2,2025-01-11T21:00:00.0,0.0
290,92,2,2025-01-11T22:00:00.0,0.0
291,92,2,2025-01-11T23:00:00.0,0.0
292,92,2,2025-01-12T00:00:00.0,0.0
293,92,2,2025-01-12T01:00:00.0,0.0
294,92,2,2025-01-12T02:00:00.0,0.0
295,92,2,2025-01-12T03:00:00.0,0.0
296,92,2,2025-01-12T04:00:00.0,0.0
297,92,2,2025-01-12T05:00:00.0,4.9827
298,92,2,2025-01-12T06:00:00.0,72.5747
299,92,2,2025-01-12T07:00:00.0,191.2492
300,92,2,2025-01-12T08:00:00.0,290.0511
301,92,2,2025-01-12T09:00:00.0,367.9333
302,92,2,2025-01-12T10:00:00.0,407.8338
303,92,2,2025-01-12T11:00:00.0,435.2446
304,92,2,2025-01-12T12:00:00.0,441.8043
305,92,2,2025-01-12T13:00:00.0,421.0641
306,92,2,2025-01-12T14:00:00.0,369.1926
307,92,2,2025-01-12T15:00:00.0,298.8449
308,92,2,2025-01-12T16:00:00.0,194.5614
309,92,2,2025-01-12T17:00:00.0,74.6254
310,92,2,2025-01-12T18:00:00.0,5.7531
311,92,2,2025-01-12T19:00:00.0,0.0
312,92,2,2025-01-12T20:00:00.0,0.0
313,92,2,2025-01-12T21:00:00.0,0.0
314,92,2,2025-01-12T22:00:00.0,0.0
315,92,2,2025-01-12T23:00:00.0,0.0
316,92,2,2025-01-13T00:00:00.0,0.0
317,92,2,2025-01-13T01:00:00.0,0.0
318,92,2,2025-01-13T02:00:00.0,0.0
319,92,2,2025-01-13T03:00:00.0,0.0
320,92,2,2025-01-13T04:00:00.0,0.0
321,92,2,2025-01-13T05:00:00.0,4.1845
322,92,2,2025-01-13T06:00:00.0,69.898
